"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000000558",26.0783461980842,-1.26039159242117,0.399322739526371,-3.15632311326947,0.00159771762386339,0.023929002713508
"ENSGALG00000000560",53.3625364074751,-1.02046758655274,0.271179264669457,-3.76307380210873,0.000167837644552353,0.0049402159006219
"ENSGALG00000001035",22.1580836788413,-2.48809559438489,0.314740389743513,-7.90523134451374,2.67436454948771e-15,6.4658493765043e-12
"ENSGALG00000001299",18.1000731795329,-1.04702341483504,0.266217212110441,-3.93296664229462,8.39038850172259e-05,0.00298601862163412
"ENSGALG00000002637",42.6518144924615,-4.87308420636876,0.951031399284321,-5.12399928123919,2.99122122121501e-07,5.00058339956043e-05
"ENSGALG00000002931",310.0027532213,-2.72231052453283,0.514049453543874,-5.29581445085708,1.18487105366385e-07,2.30491467956401e-05
"ENSGALG00000002960",30.5301210714047,-1.74729161753353,0.40694112846133,-4.29372087343482,1.75703348284473e-05,0.000970048432062779
"ENSGALG00000003425",2.33439071680815,-2.02435748332994,0.699102438516651,-2.8956521559633,0.0037837155001466,0.042295641429644
"ENSGALG00000004141",6.95359948740216,-1.61287553093751,0.490823051881231,-3.28606312347325,0.00101598239364685,0.0173506418063364
"ENSGALG00000004418",29.9279973066692,-2.36508009987131,0.653312073162795,-3.62013836423006,0.000294445519344087,0.00742652156390361
"ENSGALG00000004936",5.45582702016043,-1.13778835362818,0.403541507037423,-2.8195076188846,0.00480973891656904,0.0495026982426455
"ENSGALG00000005434",3.34446681204637,-1.9674531796795,0.63307570054518,-3.10776922567903,0.00188505202376893,0.026670449105025
"ENSGALG00000005541",33.056529690364,-1.3609318236325,0.330530804975447,-4.11741297073231,3.83149143690323e-05,0.00166694501486247
"ENSGALG00000005934",311.874373838697,-2.42719895142803,0.371563154479267,-6.53239946471458,6.47242436929729e-11,4.69229978547883e-08
"ENSGALG00000006217",1912.17201421104,-1.33848454453678,0.185772696260322,-7.2049583791429,5.80615819929996e-13,9.82634213649524e-10
"ENSGALG00000006534",75.5063210189079,-1.13071506027703,0.193523516664162,-5.84277859232611,5.13372304263767e-09,1.63930431648302e-06
"ENSGALG00000006662",60.2618330954757,-1.94164823972062,0.567901409146529,-3.41898824065013,0.000628544427423909,0.0124999834191801
"ENSGALG00000007596",833.839929310278,-1.04331057093481,0.288560405082685,-3.61557078711424,0.000299686567260061,0.00746847020498377
"ENSGALG00000008439",279.497068990992,-1.01843004974897,0.236453009034345,-4.30711393315803,1.65398427978648e-05,0.000933067665036879
"ENSGALG00000008444",141.606991644308,-1.41182355793874,0.31645837217148,-4.46132471784854,8.14545557599021e-06,0.000544876245723551
"ENSGALG00000008704",3095.94346009602,-1.01461562415238,0.299078432416288,-3.39247339219746,0.000692646588184597,0.0133360078025439
"ENSGALG00000010469",373.157010056455,-1.66471419258636,0.419908813314843,-3.96446595022566,7.35604452484459e-05,0.00272415093081991
"ENSGALG00000010822",6.62129469354555,-1.47652224806453,0.445402574185875,-3.31502854639622,0.000916337664595474,0.0161711143228507
"ENSGALG00000010997",1754.28745493496,-1.32732439284114,0.298001960037304,-4.45407940496426,8.42539168865489e-06,0.000556350688699945
"ENSGALG00000011219",8.65537437576488,-2.75734645211202,0.669172234795818,-4.12053326293994,3.77996487321669e-05,0.00164876612150308
"ENSGALG00000011742",7.95094284682615,-1.74299576651569,0.482102602051357,-3.61540418802804,0.000299879372256828,0.00746847020498377
"ENSGALG00000012754",2.62033418903664,-2.00285029504837,0.68857453490744,-2.90869062608829,0.00362945830016566,0.0414193879109937
"ENSGALG00000012997",93.5133957916286,-1.30122299718971,0.299088765149394,-4.3506247937456,1.357501691083e-05,0.000814693568081156
"ENSGALG00000013720",42.9978712986179,-1.2627999900203,0.274938950873311,-4.59301959947531,4.36878013627681e-06,0.000337612945325793
"ENSGALG00000014372",2063.85627703909,-1.22916947070004,0.357266585615438,-3.44048259812106,0.000580677776482005,0.0118117676552662
"ENSGALG00000014616",81.039349078905,-1.38431742480356,0.295913748584298,-4.6781112112106,2.89529512438019e-06,0.00024999987084189
"ENSGALG00000015237",12.9053321713656,-1.5129896341089,0.394295986737121,-3.83719257867469,0.000124448878225995,0.00398896366495596
"ENSGALG00000015382",14.1178128366119,-1.40057889316413,0.42327183617738,-3.30893476356218,0.000936516557525466,0.0163904924711075
"ENSGALG00000015425",364.11038336322,-2.30305962506083,0.521332503984386,-4.41764057959027,9.97841698370819e-06,0.000629947161312088
"ENSGALG00000016165",32.2368122191532,-1.26944124644756,0.309547087184646,-4.10096330737022,4.11433801889918e-05,0.00176478762702366
"ENSGALG00000016400",371.293373089972,-1.86838730567978,0.380691723564673,-4.90787477117918,9.20686082356108e-07,0.000106437987408977
"ENSGALG00000016580",25.4087375462132,-1.26206418517828,0.410402848706997,-3.07518378382241,0.0021037287703587,0.0286893680173655
"ENSGALG00000016767",129.273152223122,-1.10294628000972,0.148496070500563,-7.42744421648205,1.10716050050498e-13,2.08195381228292e-10
"ENSGALG00000017040",157.847792037072,-1.74846419367276,0.608513146038825,-2.87333840699179,0.00406158798046683,0.0445196340553243
"ENSGALG00000018299",6.45224354879426,-1.1289253085571,0.383690618892971,-2.94228019390803,0.00325804988585789,0.0386942008900062
"ENSGALG00000018534",230.580201450419,-1.07836592381027,0.192678054509412,-5.59672416537501,2.18439828433168e-08,5.43658184765137e-06
"ENSGALG00000018946",7.49175819599021,-1.24720950985054,0.383582997984135,-3.25147234472088,0.00114808944311397,0.0190120016979069
"ENSGALG00000019552",131.049229781997,-1.53519623544492,0.322410669612406,-4.76161734129486,1.9204757817945e-06,0.000180490377485221
"ENSGALG00000023395",194.15404660713,-3.57736197141532,0.633076619816101,-5.6507567321859,1.59743028182807e-08,4.09619849843307e-06
"ENSGALG00000023933",52.2090026838862,-1.31836575222187,0.463536080516769,-2.84414915609612,0.0044530196806514,0.0472791123433779
"ENSGALG00000024621",7.51256816963802,-1.62345009626054,0.37486429976822,-4.33076741974182,1.48590566019105e-05,0.000867483394417087
"ENSGALG00000026214",13.6760925760126,-1.92606713898934,0.491202462373397,-3.92112679908597,8.81358675781262e-05,0.00309462950807512
"ENSGALG00000028451",677.647304298993,-1.39942947475268,0.301748901402693,-4.63772848301143,3.5225911082957e-06,0.000289399669499012
"ENSGALG00000028982",666.134820217283,-1.15187129369687,0.367030437768138,-3.13835359459898,0.00169899786104627,0.0247903211766572
"ENSGALG00000029644",122.749492229058,-1.09795282569832,0.243846227259917,-4.50264430184521,6.71131562226757e-06,0.000469348370211803
"ENSGALG00000030025",171.188692257102,-3.69418598333946,0.805477745756149,-4.58632904857168,4.51107446459205e-06,0.000343898307381783
"ENSGALG00000030614",962.316880553049,-2.29825650727099,0.449689656440845,-5.1107613314057,3.20863129192893e-07,5.21417902229195e-05
"ENSGALG00000030629",2.30530446040849,-1.81966976731116,0.644508392887818,-2.82334533947316,0.00475253495794701,0.0492400644898785
