"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000000558",26.0783461980842,-1.26039159242117,0.399322739526371,-3.15632311326947,0.00159771762386339,0.023929002713508
"ENSGALG00000000560",53.3625364074751,-1.02046758655274,0.271179264669457,-3.76307380210873,0.000167837644552353,0.0049402159006219
"ENSGALG00000000892",3.56103775635453,3.09308829440787,0.896147464003519,3.45153941583406,0.00055739833534299,0.0114901454657062
"ENSGALG00000001035",22.1580836788413,-2.48809559438489,0.314740389743513,-7.90523134451374,2.67436454948771e-15,6.4658493765043e-12
"ENSGALG00000001299",18.1000731795329,-1.04702341483504,0.266217212110441,-3.93296664229462,8.39038850172259e-05,0.00298601862163412
"ENSGALG00000001740",195.949050353358,1.15709183822934,0.199911663784589,5.78801564813219,7.12227778815343e-09,2.15245409440551e-06
"ENSGALG00000002558",10.3660579342145,2.10439411007412,0.51609262853386,4.07755118698824,4.55125123384587e-05,0.00191129964966768
"ENSGALG00000002576",216.457779662681,1.50034077818146,0.312998847447618,4.79343866731823,1.63946596961513e-06,0.000157649557214582
"ENSGALG00000002637",42.6518144924615,-4.87308420636876,0.951031399284321,-5.12399928123919,2.99122122121501e-07,5.00058339956043e-05
"ENSGALG00000002722",317.215053504366,1.91095317139933,0.220791013274309,8.65503148457036,4.92775616163882e-18,2.77991150931918e-14
"ENSGALG00000002845",33.4709564416152,1.25831706836393,0.255018999811858,4.93420909537038,8.0476191021091e-07,9.52432906881779e-05
"ENSGALG00000002931",310.0027532213,-2.72231052453283,0.514049453543874,-5.29581445085708,1.18487105366385e-07,2.30491467956401e-05
"ENSGALG00000002960",30.5301210714047,-1.74729161753353,0.40694112846133,-4.29372087343482,1.75703348284473e-05,0.000970048432062779
"ENSGALG00000003425",2.33439071680815,-2.02435748332994,0.699102438516651,-2.8956521559633,0.0037837155001466,0.042295641429644
"ENSGALG00000004141",6.95359948740216,-1.61287553093751,0.490823051881231,-3.28606312347325,0.00101598239364685,0.0173506418063364
"ENSGALG00000004418",29.9279973066692,-2.36508009987131,0.653312073162795,-3.62013836423006,0.000294445519344087,0.00742652156390361
"ENSGALG00000004804",3.61516370236484,2.65291829000354,0.692499416726521,3.83093216532082,0.000127658699881313,0.00406108239998372
"ENSGALG00000004860",209.335078826033,2.63881732107232,0.450976235526553,5.85134451262443,4.87615005601092e-09,1.63178950693319e-06
"ENSGALG00000004936",5.45582702016043,-1.13778835362818,0.403541507037423,-2.8195076188846,0.00480973891656904,0.0495026982426455
"ENSGALG00000005257",507.648308126763,1.08030374800416,0.308463192498879,3.5022128223875,0.000461410895129937,0.0100500875021609
"ENSGALG00000005434",3.34446681204637,-1.9674531796795,0.63307570054518,-3.10776922567903,0.00188505202376893,0.026670449105025
"ENSGALG00000005541",33.056529690364,-1.3609318236325,0.330530804975447,-4.11741297073231,3.83149143690323e-05,0.00166694501486247
"ENSGALG00000005572",1006.0791088853,1.94387204498493,0.498657653644127,3.89820958483111,9.69065285309933e-05,0.00332754374571537
"ENSGALG00000005934",311.874373838697,-2.42719895142803,0.371563154479267,-6.53239946471458,6.47242436929729e-11,4.69229978547883e-08
"ENSGALG00000005957",346.084321729795,2.87594777284631,0.647400524903798,4.44230065039516,8.90020798739695e-06,0.000578865731022125
"ENSGALG00000006087",16.3906773209219,1.03638185615228,0.276270146578608,3.7513349487343,0.000175895528770473,0.00510609936348454
"ENSGALG00000006106",107.072952586632,1.67979480033539,0.426974487966707,3.93418072432088,8.34809547170463e-05,0.00298065754774534
"ENSGALG00000006217",1912.17201421104,-1.33848454453678,0.185772696260322,-7.2049583791429,5.80615819929996e-13,9.82634213649524e-10
"ENSGALG00000006322",38578.0274241924,1.16012033872018,0.307791424741254,3.76917693433283,0.000163786755558785,0.00483756902456699
"ENSGALG00000006534",75.5063210189079,-1.13071506027703,0.193523516664162,-5.84277859232611,5.13372304263767e-09,1.63930431648302e-06
"ENSGALG00000006662",60.2618330954757,-1.94164823972062,0.567901409146529,-3.41898824065013,0.000628544427423909,0.0124999834191801
"ENSGALG00000006707",1517.00635292029,1.29995396363211,0.329465000771769,3.94565116351352,7.95834055399606e-05,0.0028840889836366
"ENSGALG00000006992",68.0269753271977,1.28331652675666,0.263220712992267,4.87543898870284,1.08566748316526e-06,0.000119410827508804
"ENSGALG00000007526",11386.0116540235,2.74841278494395,0.547351134973767,5.02129731598285,5.13236431757639e-07,7.29917090005569e-05
"ENSGALG00000007530",1483.24954042642,2.76464900091294,0.574748182326051,4.81019181256771,1.50785526518141e-06,0.000149233581917721
"ENSGALG00000007538",680.449709612774,3.1975989704384,0.622465193612953,5.13699240254494,2.79170237361679e-07,4.77240110819096e-05
"ENSGALG00000007596",833.839929310278,-1.04331057093481,0.288560405082685,-3.61557078711424,0.000299686567260061,0.00746847020498377
"ENSGALG00000007675",49.6372423219321,1.32437697100534,0.340125255211645,3.8937919213945,9.86893112053671e-05,0.00335385121052135
"ENSGALG00000007874",134.340554208438,1.06852863936545,0.216225611222016,4.94173022948844,7.74323081133866e-07,9.39576172830422e-05
"ENSGALG00000008150",23.7419641073049,1.37019000448,0.345970902420547,3.96041977777211,7.48181250427398e-05,0.00275865348196803
"ENSGALG00000008439",279.497068990992,-1.01843004974897,0.236453009034345,-4.30711393315803,1.65398427978648e-05,0.000933067665036879
"ENSGALG00000008444",141.606991644308,-1.41182355793874,0.31645837217148,-4.46132471784854,8.14545557599021e-06,0.000544876245723551
"ENSGALG00000008666",49.5221975968894,1.71991898739608,0.301335099390278,5.70766230311758,1.14538382970977e-08,3.02882436468878e-06
"ENSGALG00000008704",3095.94346009602,-1.01461562415238,0.299078432416288,-3.39247339219746,0.000692646588184597,0.0133360078025439
"ENSGALG00000009006",181.33217637936,1.21387340017305,0.339609214716045,3.57432409832578,0.000351133776604789,0.00838427356843872
"ENSGALG00000009268",194.82483142835,3.20605910871808,0.559931795701762,5.72580291622826,1.0294567782933e-08,2.81008492190899e-06
"ENSGALG00000009903",9.84071028705655,1.48171505243277,0.354746982249015,4.17682214810972,2.95609976927105e-05,0.00138584577548873
"ENSGALG00000009904",30.6328134573339,3.25248287441164,0.484742407724089,6.70971390698485,1.95006362887677e-11,1.65014384275552e-08
"ENSGALG00000009963",27.7599855853704,2.0150881374537,0.316876796338554,6.35921645490496,2.02785482858562e-10,1.34203811627796e-07
"ENSGALG00000010338",13.2287991758092,1.85973644456946,0.5473136261641,3.39793558147566,0.000678964056827844,0.0131473543452568
"ENSGALG00000010469",373.157010056455,-1.66471419258636,0.419908813314843,-3.96446595022566,7.35604452484459e-05,0.00272415093081991
"ENSGALG00000010583",5.90781699070396,1.40746758593644,0.494499870304665,2.84624460077064,0.00442381998250146,0.0471168844454718
"ENSGALG00000010822",6.62129469354555,-1.47652224806453,0.445402574185875,-3.31502854639622,0.000916337664595474,0.0161711143228507
